,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
359,1 BHK Apartment ,315,Thane West,20000,,2.0,No Deposit,Unfurnished,apartment,1,20000.0,63.492063492063494
360,2 BHK Apartment ,750,Thane West,18000,,2.0,No Deposit,Semi-Furnished,apartment,2,9000.0,24.0
361,1 BHK Apartment ,500,Ville Parle East,45000,,1.0,No Deposit,Semi-Furnished,apartment,1,45000.0,90.0
362,2 BHK Apartment ,1200,Nerul,28000,,3.0,No Deposit,Furnished,apartment,2,14000.0,23.333333333333332
363,2 BHK Apartment ,1000,Nerul,30000,,2.0,No Deposit,Furnished,apartment,2,15000.0,30.0
364,1 BHK Apartment ,450,Thane West,35000,,2.0,No Deposit,Semi-Furnished,apartment,1,35000.0,77.77777777777777
365,4 BHK Apartment ,3800,Lower Parel,425000,,5.0,No Deposit,Semi-Furnished,apartment,4,106250.0,111.84210526315789
366,2 BHK Apartment ,900,Ville Parle East,80000,,2.0,No Deposit,Unfurnished,apartment,2,40000.0,88.88888888888889
367,1 BHK Apartment ,500,Andheri East,45000,,2.0,No Deposit,Semi-Furnished,apartment,1,45000.0,90.0
368,2 BHK Apartment ,750,Thane West,46000,,2.0,No Deposit,Furnished,apartment,2,23000.0,61.333333333333336
369,4 BHK Independent House ,3500,Thane West,140000,,5.0,No Deposit,Semi-Furnished,villa,4,35000.0,40.0
370,2 BHK Apartment ,780,Titwala,8500,,2.0,No Deposit,Unfurnished,apartment,2,4250.0,10.897435897435898
371,2 BHK Apartment ,750,Mulund East,36000,,2.0,No Deposit,Unfurnished,apartment,2,18000.0,48.0
372,2 BHK Apartment ,1075,Thane West,32000,,2.0,No Deposit,Semi-Furnished,apartment,2,16000.0,29.767441860465116
373,2 BHK Apartment ,835,Thane West,28000,,2.0,No Deposit,Semi-Furnished,apartment,2,14000.0,33.532934131736525
374,2 BHK Apartment ,950,Titwala,10000,,2.0,No Deposit,Unfurnished,apartment,2,5000.0,10.526315789473685
375,2 BHK Apartment ,835,Thane West,26000,,2.0,No Deposit,Semi-Furnished,apartment,2,13000.0,31.137724550898202
376,3 BHK Apartment ,1150,Thane West,38000,,2.0,No Deposit,Semi-Furnished,apartment,3,12666.666666666666,33.04347826086956
377,1 BHK Apartment ,715,Titwala,9000,,1.0,No Deposit,Unfurnished,apartment,1,9000.0,12.587412587412587
378,2 BHK Apartment ,850,Titwala,8000,,2.0,No Deposit,Unfurnished,apartment,2,4000.0,9.411764705882353
379,2 BHK Apartment ,850,Titwala,8000,,2.0,No Deposit,Unfurnished,apartment,2,4000.0,9.411764705882353
380,4 BHK Villa ,3000,Titwala,22000,,4.0,No Deposit,Semi-Furnished,villa,4,5500.0,7.333333333333333
381,2 BHK Apartment ,650,Thane West,32000,,2.0,No Deposit,Semi-Furnished,apartment,2,16000.0,49.23076923076923
382,2 BHK Apartment ,750,Thane West,33000,,3.0,No Deposit,Semi-Furnished,apartment,2,16500.0,44.0
383,4 BHK Apartment ,1400,Thane West,70000,,4.0,No Deposit,Furnished,apartment,4,17500.0,50.0
